FileName,Prediction
MSP-PODCAST_0002_0033.wav,"0.0779, 0.3512, 0.3921, 0.2422, -0.0439, -0.1671, 0.0882, 0.2435, 3.6187, 3.8790, 3.5971"
MSP-PODCAST_0003_0114.wav,"0.1264, 0.2727, 0.4818, 0.2457, -0.1064, -0.1452, 0.1043, 0.0902, 3.5381, 3.8016, 3.6242"
MSP-PODCAST_0003_0223.wav,"0.0466, 0.2822, 0.4396, 0.1957, -0.1092, -0.1174, 0.0702, 0.0927, 3.5931, 3.7630, 3.6317"
MSP-PODCAST_0003_0304.wav,"0.0787, 0.3302, 0.4267, 0.2150, -0.0107, -0.1940, 0.0778, 0.1588, 3.4929, 3.8032, 3.6352"
MSP-PODCAST_0003_0374.wav,"0.0432, 0.3661, 0.4005, 0.2228, -0.0147, -0.1865, 0.0483, 0.1544, 3.5547, 3.8996, 3.6528"
MSP-PODCAST_0003_0630.wav,"0.1898, 0.3080, 0.3883, 0.1586, -0.2534, -0.0435, 0.0070, 0.0791, 3.6127, 3.7883, 3.5383"
MSP-PODCAST_0006_0258.wav,"0.1547, 0.2092, 0.4777, 0.1630, -0.1631, -0.1178, 0.1320, 0.1177, 3.6025, 3.6745, 3.5612"
MSP-PODCAST_0008_0204.wav,"0.1442, 0.2660, 0.4467, 0.1560, -0.1350, -0.0933, 0.0180, 0.0970, 3.5913, 3.9302, 3.4978"
MSP-PODCAST_0012_0047.wav,"0.1002, 0.3915, 0.4866, 0.2589, -0.0337, -0.1455, 0.0778, 0.2189, 3.5346, 3.8185, 3.5872"
MSP-PODCAST_0012_0105.wav,"0.1088, 0.2504, 0.4335, 0.1860, -0.1439, -0.1304, 0.1604, 0.1373, 3.5258, 3.7540, 3.5464"
MSP-PODCAST_0014_0122.wav,"0.1551, 0.2790, 0.5104, 0.1846, -0.1030, -0.1127, 0.1436, 0.1365, 3.5523, 3.7474, 3.5514"
MSP-PODCAST_0014_0425.wav,"0.1158, 0.2423, 0.4939, 0.1525, -0.0942, -0.1077, 0.0918, 0.1351, 3.6255, 3.7298, 3.5449"
MSP-PODCAST_0014_0526.wav,"0.0926, 0.2594, 0.4394, 0.1827, -0.1248, -0.0619, 0.0799, 0.1344, 3.5851, 3.7987, 3.5778"
MSP-PODCAST_0014_0585.wav,"0.0509, 0.3107, 0.5026, 0.1964, -0.1025, -0.2393, 0.1201, 0.1745, 3.5663, 3.7964, 3.5814"
MSP-PODCAST_0015_0466.wav,"0.0925, 0.3416, 0.4436, 0.2586, -0.0931, -0.1451, 0.0881, 0.1904, 3.5298, 3.8484, 3.5765"
MSP-PODCAST_0019_0328.wav,"0.1035, 0.2612, 0.4751, 0.2132, -0.1019, -0.1195, 0.0768, 0.1285, 3.5322, 3.7867, 3.6059"
MSP-PODCAST_0021_0006.wav,"0.0424, 0.2878, 0.4097, 0.1766, -0.1202, -0.0997, 0.0547, 0.2014, 3.6222, 3.7906, 3.6241"
MSP-PODCAST_0023_0006.wav,"0.1319, 0.2994, 0.4807, 0.1983, -0.1620, -0.0115, 0.0191, 0.1438, 3.5992, 3.8006, 3.5351"
MSP-PODCAST_0023_0170.wav,"0.1358, 0.2387, 0.4238, 0.1695, -0.1185, -0.1643, 0.1967, 0.1496, 3.5777, 3.6992, 3.5806"
MSP-PODCAST_0023_0171.wav,"0.1421, 0.2191, 0.4672, 0.1810, -0.1589, -0.0761, 0.1226, 0.1418, 3.6323, 3.6874, 3.6146"
MSP-PODCAST_0023_0361.wav,"0.1718, 0.2020, 0.4894, 0.2141, -0.2218, -0.0030, 0.0257, 0.1301, 3.6567, 3.7394, 3.5610"
MSP-PODCAST_0023_0370.wav,"0.1609, 0.2285, 0.4497, 0.1881, -0.1909, -0.0325, 0.0177, 0.1742, 3.6003, 3.7463, 3.5451"
